球员	年龄	球队	号码	位置	出场	首发	出场时间	进球	助攻	传球	过人	抢断	越位	犯规	红牌	黄牌	射门	射正	射门成功率	头球进球	左脚进球	右脚进球	直接任意球进球	点球	赢得点球机会	拦截	解围	头球解围	后场解围	头球争顶成功	头球争顶失败	乌龙球	下一年进球
吉格斯	40	曼联	11	中场	15	10	1145	2	3	638	22	42	3	13	0	0	14	3	0.142857143	0	1	1	0	0	0	12	6	2	0	5	0	0	0
卡拉古尼斯	36	富勒姆	26	中场	25	20	1556	1	0	995	23	47	0	20	0	3	21	4	0.047619048	0	0	1	0	0	0	31	14	5	7	4	0	0	0
兰帕德	35	切尔西	8	中场	29	21	1901	15	1	1245	13	36	4	14	0	2	80	31	0.1875	3	1	11	0	5	0	27	26	9	15	8	0	0	6
费迪南德	35	曼联	5	后卫	28	26	2233	1	1	1299	9	35	0	7	0	2	2	1	0.5	0	0	1	0	0	0	41	222	151	131	46	0	0	0
达米恩.达夫	34	富勒姆	16	中场	31	27	2337	3	7	720	25	21	13	14	0	0	18	8	0.166666667	0	2	1	0	0	0	18	25	5	11	6	0	0	0
阿什利.科尔	33	切尔西	3	后卫	31	31	2790	1	2	1317	25	64	2	14	0	3	21	3	0.047619048	0	1	0	0	0	0	37	84	42	58	21	0	0	0
特里	33	切尔西	26	后卫	11	14	950	4	0	557	0	12	0	6	0	1	7	4	0.571428571	4	0	0	0	0	0	18	71	44	47	33	0	0	2
罗西基	33	阿森纳	7	中场	10	7	612	2	1	472	13	12	0	13	0	2	10	4	0.2	1	0	1	0	0	0	12	1	0	0	5	0	0	2
帕克	33	托特纳姆热刺	8	中场	21	15	1363	0	1	932	22	52	0	21	0	1	15	2	0	0	0	0	0	0	0	46	23	10	10	10	0	0	2
杰拉德	33	利物浦	8	中场	36	36	3223	9	9	2387	31	88	3	36	0	5	93	32	0.096774194	1	1	7	0	4	0	51	60	30	34	38	0	1	13
德梅尔	32	西汉姆联	20	后卫	31	28	2478	0	2	831	46	44	4	20	0	2	4	0	0	0	0	0	0	0	0	38	104	44	72	24	0	0	1
乔.科尔	32	西汉姆联	26	中场	17	7	784	3	0	333	11	13	10	9	0	2	22	6	0.136363636	0	3	0	0	0	0	7	3	2	1	6	0	0	3
克劳奇	32	斯洛克城	25	前锋	34	28	2336	7	4	969	17	12	16	48	0	2	43	21	0.162790698	3	0	4	0	0	1	9	44	40	17	281	0	0	8
阿梅奥比	32	纽卡斯尔	23	前锋	23	4	678	1	1	244	15	4	7	24	0	5	28	11	0.035714286	0	1	0	0	0	0	1	14	8	7	51	0	0	2
埃夫拉	32	曼联	3	后卫	34	34	2970	4	5	1421	61	81	3	34	0	3	22	11	0.181818182	3	1	0	0	0	0	52	165	111	94	68	0	0	1
维迪奇	32	曼联	15	后卫	36	34	1529	1	0	788	2	27	0	20	0	2	11	1	0.090909091	1	0	0	0	0	0	34	199	151	122	80	0	1	0
卡里克	32	曼联	16	中场	11	7	2955	1	4	2774	14	81	0	30	0	3	18	5	0.055555556	0	0	1	0	0	0	74	55	26	31	17	0	0	1
